Vial,Treatment,Replicate,Age Bin,Courtship Latency,Copulation Latency,Copulation Duration,copulation,Start Time,9:10,Temperature,23
1,LTP,1,1,9:21,11:14,,0,Bin 2,9:17,Humidity,67
2,LTP,2,1,,,,0,Bin 3,9:25,,
3,LTP,3,1,9:15,10:16,10:40,1,Bin 4,9:33,,
4,LTP,4,1,9:15,10:39,11:00,1,Finish set-up,9:39,,
5,LTS,1,1,9:14,,,0,End Time,11:14,,
6,LTS,2,1,9:31,9:59,10:23,1,,,,
7,LTS,3,1,9:16,10:04,10:20,1,,,,
8,LTS,4,1,9:16,10:59,,0,,,,
9,LTC,1,1,9:23,,,0,,,,
10,LTC,2,1,9:20,,,0,,,,
11,LTC,3,1,9:47,,,0,,,,
12,LTC,4,1,9:19,,,0,,,,
13,LTP,1,2,11:02,11:03,,0,,,,
14,LTP,2,2,9:21,9:26,9:44,1,,,,
15,LTP,3,2,9:32,9:47,10:07,1,,,,
16,LTP,4,2,,9:50,10:16,1
17,LTS,1,2,9:42,9:46,10:11,1
18,LTS,2,2,9:25,9:59,10:17,1
19,LTS,3,2,9:26,9:40,10:03,1
20,LTS,4,2,,9:29,9:52,1
21,LTC,1,2,9:38,10:20,10:42,1
22,LTC,2,2,9:35,9:36,9:51,1
23**UA,LTC,3,2,9:29,10:00,10:23,1
24,LTC,4,2,9:27,,,0
25,LTP,1,3,9:43,10:04,10:26,1
26,LTP,2,3,9:32,9:44,10:05,1
27,LTP,3,3,9:38,10:35,10:58,1
28,LTP,4,3,10:19,10:22,10:42,1
29,LTS,1,3,,9:42,10:05,1
30,LTS,2,3,9:42,9:47,10:11,1
31,LTS,3,3,9:58,9:58,10:23,1
32,LTS,4,3,9:50,10:41,11:00,1
33,LTC,1,3,9:40,9:43,10:03,1
34,LTC,2,3,,,,0
35,LTC,3,3,10:20,10:21,10:44,1
36,LTC,4,3,9:40,9:44,10:09,1
37,LTP,1,4,,,,0
38,LTP,2,4,9:45,9:49,10:08,1
39,LTP,3,4,9:43,9:56,10:26,1
40,LTP,4,4,,11:07,,0
41,LTS,1,4,9:38,9:42,10:14,1
42,LTS,2,4,9:56,9:56,10:23,1
43,LTS,3,4,,10:46,11:14,1
44,LTS,4,4,9:45,9:49,10:13,1
45,LTC,1,4,9:40,10:06,10:36,1
46,LTC,2,4,9:42,9:46,10:18,1
47,LTC,3,4,9:44,9:48,10:10,1
48,LTC,4,4,10:13,10:13,10:42,1
