Vial,Treatment,Rep,Age Bin,Courtship Latency,Copulation Latency,Copulation Duration,copulation,7/22/14,
1,LTP,1,1,9:17:00,10:20,10:40,1,Start Time,9:08
2,LTP,2,1,9:52,10:46,11:16,1,Bin 2,9:15
3,LTP,3,1,10:44,,,0,Bin 3,9:23
4,LTP,4,1,9:24,,,0,Bin 4,9:29
5,LTS,1,1,9:44,,,0,Finish set-up,9:36
6,LTS,2,1,9:52,,,0,End Time,11:16
7,LTS,3,1,9:13,,,0,,
8,LTS,4,1,10:13,,,0,Temperature,23
9,LTC,1,1,10:03,10:23,10:47,1,Humidity,67
10,LTC,2,1,9:59,,,0,,
11,LTC,3,1,9:23,,,0,,
12,LTC,4,1,9:18,,,0,,
13,LTP,1,2,9:33,9:42,10:03,1,,
14,LTP,2,2,,,,0,,
15,LTP,3,2,9:21,9:41,10:00,1,,
16,LTP,4,2,9:25,,,0
17,LTS,1,2,9:58,10:00,10:20,1
18,LTS,2,2,10:04,10:07,10:33,1
19,LTS,3,2,,9:43,10:03,1
20,LTS,4,2,9:33,9:38,10:00,1
21,LTC,1,2,9:25,10:34,10:48,1
22,LTC,2,2,9:50,9:54,10:14,1
23,LTC,3,2,9:34,10:24,10:48,1
24,LTC,4,2,9:31,10:32,10:51,1
25,LTP,1,3,9:30,9:53,10:20,1
26,LTP,2,3,9:26,9:34,10:06,1
27,LTP,3,3,,9:30,9:55,1
28,LTP,4,3,9:27,9:39,10:09,1
29,LTS,1,3,9:34,9:46,10:07,1
30,LTS,2,3,9:48,9:51,10:15,1
31,LTS,3,3,9:40,9:42,9:57,1
32,LTS,4,3,9:58,10:20,10:39,1
33,LTC,1,3,10:43,10:45,11:14,1
34,LTC,2,3,10:02,10:07,10:25,1
35,LTC,3,3,9:46,10:31,10:57,1
36,LTC,4,3,10:32,10:32,10:59,1
37,LTP,1,4,9:32,9:45,10:03,1
38,LTP,2,4,9:35,10:00,10:21,1
39,LTP,3,4,9:56,10:06,10:27,1
40,LTP,4,4,9:33,9:47,10:04,1
41,LTS,1,4,9:48,9:52,10:13,1
42,LTS,2,4,9:47,10:30,10:57,1
43,LTS,3,4,9:44,9:53,10:13,1
44,LTS,4,4,9:36,9:45,10:02,1
45,LTC,1,4,,9:53,10:14,1
46,LTC,2,4,9:39,9:40,9:59,1
47,LTC,3,4,,,,0
48,LTC,4,4,9:47,10:05,10:28,1
