Vial,Treatment,Replicate,Age Bin,Remating,Dead,MatingDay1,Start Time,9:40,Temperature,22
1,LTP,1,1,0,,0,Bin 1,,Humidity,63
2,LTP,2,1,0,,0,Bin 2,,,
3,LTP,3,1,0,,0,Bin 3,,,
4,LTP,4,1,1,,0,Finish set-up,10:00,,
5,LTS,1,1,0,,0,End Time,,,
6,LTS,2,1,0,,0,,,,
7,LTS,3,1,0,,0,,,,
8,LTS,4,1,1,,0,,,,
9,LTC,1,1,0,,0,,,,
10,LTC,2,1,1,,0,,,,
11,LTC,3,1,1,,0,,,,
12,LTC,4,1,1,,0,,,,
13,LTP,1,2,0,,1,,,,
14,LTP,2,2,0,,1,,,,
16,LTP,4,2,0,,1,,,,
17,LTS,1,2,1,,1
18,LTS,2,2,0,,1
19,LTS,3,2,1,,1
20,LTS,4,2,1,,1
21,LTC,1,2,0,,1
22,LTC,2,2,1,,1
23,LTC,3,2,1,,1
24,LTC,4,2,0,,1
25,LTP,1,3,1,,1
26,LTP,2,3,0,,1
27,LTP,3,3,0,,1
28,LTP,4,3,0,,1
30,LTS,2,3,0,,1
31,LTS,3,3,0,,0
32,LTS,4,3,0,,0
33,LTC,1,3,0,,1
34,LTC,2,3,0,,1
35,LTC,3,3,0,,0
36,LTC,4,3,1,,1
37,LTP,1,4,0,,1
38,LTP,2,4,0,,1
39,LTP,3,4,0,,1
40,LTP,4,4,1,,1
41,LTS,1,4,0,,1
42,LTS,2,4,0,,1
43,LTS,3,4,0,,1
44,LTS,4,4,0,,1
45,LTC,1,4,0,,1
46,LTC,2,4,0,,1
47,LTC,3,4,0,,1
48,LTC,4,4,0,,1
