Vial,Treatment,Rep,Age Bin,Remating,Dead,MatingDay1,7/17/14,
1,LTP,1,1,0,0,0,Start Time,9:06
2,LTP,2,1,1,0,1,Bin 2,
3,LTP,3,1,1,0,1,Bin 3,
4,LTP,4,1,1,0,0,Bin 4,
5,LTS,1,1,0,0,0,Finish set-up,9:41
6,LTS,2,1,0,0,1,End Time,1:29
7,LTS,3,1,0,0,0,,
8,LTS,4,1,0,0,1,Temperature ,22
9,LTC,1,1,0,0,0,Humidity,44
10,LTC,2,1,1,0,0,,
11,LTC,3,1,0,0,0,,
12,LTC,4,1,0,0,0,,
13,LTP,1,2,0,0,1,,
14,LTP,2,2,0,0,0,,
15,LTP,3,2,0,0,1,,
16,LTP,4,2,1,0,1
17,LTS,1,2,1,0,1
18,LTS,2,2,0,0,1
19,LTS,3,2,0,0,1
20,LTS,4,2,1,0,1
21,LTC,1,2,0,0,1
22,LTC,2,2,0,0,1
23,LTC,3,2,0,0,1
24,LTC,4,2,0,0,0
25,LTP,1,3,0,0,1
26,LTP,2,3,0,0,1
27,LTP,3,3,0,0,0
28,LTP,4,3,0,0,1
29,LTS,1,3,0,0,1
30,LTS,2,3,0,0,1
31,LTS,3,3,0,0,1
32,LTS,4,3,0,0,1
33,LTC,1,3,0,0,0
34,LTC,2,3,0,0,1
35,LTC,3,3,0,0,1
36,LTC,4,3,0,0,1
37,LTP,1,4,0,0,1
39,LTP,3,4,0,0,1
40,LTP,4,4,1,0,1
41,LTS,1,4,0,0,1
42,LTS,2,4,0,0,1
43,LTS,3,4,0,0,1
44,LTS,4,4,0,0,1
45,LTC,1,4,0,0,0
46,LTC,2,4,0,0,1
47,LTC,3,4,0,0,1
48,LTC,4,4,0,0,1
